#options: 640x480 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1500 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:27.71 aq:9.44 tex:4419 mv:2682 misc:6027 imb:1200 pmb:0 smb:0 d:- ref:;
in:40 out:37 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:60 mv:8 misc:196 imb:0 pmb:1 smb:1199 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:168 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:60 mv:8 misc:196 imb:0 pmb:1 smb:1199 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:168 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:60 mv:8 misc:196 imb:0 pmb:1 smb:1199 d:- ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:168 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:60 mv:8 misc:196 imb:0 pmb:1 smb:1199 d:- ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:168 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:60 mv:8 misc:196 imb:0 pmb:1 smb:1199 d:- ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:168 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:60 mv:8 misc:196 imb:0 pmb:1 smb:1199 d:- ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:168 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:60 mv:8 misc:196 imb:0 pmb:1 smb:1199 d:- ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:168 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:60 mv:8 misc:196 imb:0 pmb:1 smb:1199 d:- ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:168 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:60 mv:8 misc:196 imb:0 pmb:1 smb:1199 d:- ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:168 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:60 mv:8 misc:196 imb:0 pmb:1 smb:1199 d:- ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:168 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:60 mv:8 misc:196 imb:0 pmb:1 smb:1199 d:- ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:168 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:184 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:168 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:184 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:168 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:89 out:89 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:184 imb:0 pmb:0 smb:1200 d:- ref:0 ;
